x	y
404.762	0.625176
405.576	0.625702
406.391	0.626756
407.206	0.627282
408.02	0.628336
408.835	0.628862
409.649	0.628862
410.464	0.629389
411.278	0.629389
412.093	0.629916
412.907	0.629916
413.722	0.629916
414.536	0.630442
415.351	0.629916
416.165	0.629916
416.98	0.629389
417.794	0.629389
418.609	0.629389
419.424	0.628862
420.238	0.628336
421.053	0.628336
421.867	0.628336
422.682	0.627282
423.496	0.627282
424.311	0.626229
425.125	0.626229
425.94	0.626229
426.754	0.625176
427.569	0.625176
428.383	0.624122
429.198	0.624122
430.013	0.623069
430.827	0.622015
431.642	0.622015
432.456	0.620962
433.271	0.620962
434.085	0.620962
434.9	0.619382
435.714	0.618855
436.529	0.617802
437.343	0.616749
438.158	0.616749
438.972	0.615695
439.787	0.615169
440.602	0.614115
441.416	0.613062
442.231	0.612535
443.045	0.610955
443.86	0.610428
444.674	0.609902
445.489	0.608848
446.303	0.607795
447.118	0.606742
447.932	0.605688
448.747	0.604635
449.561	0.603581
450.376	0.602528
451.19	0.601475
452.005	0.600948
452.82	0.599368
453.634	0.598841
454.449	0.597788
455.263	0.596735
456.078	0.595154
456.892	0.594101
457.707	0.593048
458.521	0.591994
459.336	0.590941
460.15	0.589361
460.965	0.588834
461.779	0.586728
462.594	0.585674
463.409	0.584094
464.223	0.583567
465.038	0.581987
465.852	0.580934
466.667	0.579881
467.481	0.578301
468.296	0.576721
469.11	0.575667
469.925	0.574614
470.739	0.573034
471.554	0.572507
472.368	0.569874
473.183	0.569347
473.997	0.567767
474.812	0.566713
475.627	0.565133
476.441	0.563027
477.256	0.5625
478.07	0.56092
478.885	0.55934
479.699	0.558287
480.514	0.556706
481.328	0.555126
482.143	0.554073
482.957	0.552493
483.772	0.55144
484.586	0.548806
485.401	0.548279
486.216	0.546699
487.03	0.545119
487.845	0.543539
488.659	0.541959
489.474	0.540906
490.288	0.539326
491.103	0.537746
491.917	0.536692
492.732	0.534586
493.546	0.533532
494.361	0.532479
495.175	0.530372
495.99	0.529319
496.805	0.527212
497.619	0.526159
498.434	0.525105
499.248	0.522999
500.063	0.521155
500.877	0.519312
501.692	0.518785
502.506	0.517205
503.321	0.515098
504.135	0.514572
504.95	0.511938
505.764	0.511412
506.579	0.510358
507.393	0.507198
508.208	0.506671
509.023	0.504038
509.837	0.503511
510.652	0.503511
511.466	0.498244
512.281	0.498244
513.095	0.496664
513.91	0.495611
514.724	0.495084
515.539	0.492451
516.353	0.492451
517.168	0.489291
517.982	0.489291
518.797	0.488237
519.612	0.485604
520.426	0.484551
521.241	0.481917
522.055	0.48139
522.87	0.480864
523.684	0.478757
524.499	0.477704
525.313	0.475597
526.128	0.474544
526.942	0.474017
527.757	0.471383
528.571	0.470857
529.386	0.46875
530.201	0.468223
531.015	0.466643
531.83	0.464537
532.644	0.46401
533.459	0.46243
534.273	0.461376
535.088	0.460323
535.902	0.458216
536.717	0.458216
537.531	0.45611
538.346	0.455056
539.16	0.454003
539.975	0.452949
540.789	0.451896
541.604	0.449789
542.419	0.449789
543.233	0.448736
544.048	0.447683
544.862	0.445576
545.677	0.444522
546.491	0.443469
547.306	0.442416
548.12	0.441889
548.935	0.440309
549.749	0.439256
550.564	0.438729
551.378	0.437676
552.193	0.437149
553.008	0.435569
553.822	0.434515
554.637	0.433989
555.451	0.433462
556.266	0.431882
557.08	0.431882
557.895	0.430302
558.709	0.429249
559.524	0.428722
560.338	0.428195
561.153	0.426615
561.967	0.426615
562.782	0.425035
563.596	0.424508
564.411	0.423455
565.226	0.422928
566.04	0.421875
566.855	0.421348
567.669	0.420822
568.484	0.419768
569.298	0.418715
570.113	0.418188
570.927	0.417662
571.742	0.416608
572.556	0.416081
573.371	0.415555
574.185	0.414501
575	0.413448
575.815	0.412921
576.629	0.412395
577.444	0.410815
578.258	0.410815
579.073	0.409761
579.887	0.408181
580.702	0.407654
581.516	0.407128
582.331	0.406074
583.145	0.405548
583.96	0.404494
584.774	0.403441
585.589	0.402388
586.404	0.402388
587.218	0.400808
588.033	0.400281
588.847	0.399228
589.662	0.397121
590.476	0.397121
591.291	0.396067
592.105	0.395014
592.92	0.393961
593.734	0.391854
594.549	0.391854
595.363	0.390801
596.178	0.389747
596.992	0.388694
597.807	0.386587
598.622	0.386587
599.436	0.385007
600.251	0.383603
601.065	0.382198
601.88	0.380794
602.694	0.37974
603.509	0.378687
604.323	0.37658
605.138	0.376053
605.952	0.373947
606.767	0.37342
607.581	0.372367
608.396	0.369733
609.211	0.369206
610.025	0.366046
610.84	0.36552
611.654	0.364993
612.469	0.362886
613.283	0.361833
614.098	0.359199
614.912	0.358673
615.727	0.357619
616.541	0.354459
617.356	0.354459
618.17	0.351299
618.985	0.350246
619.799	0.349192
620.614	0.347086
621.429	0.346032
622.243	0.343926
623.058	0.343399
623.872	0.342346
624.687	0.339712
625.501	0.338659
626.316	0.336552
627.13	0.335499
627.945	0.334972
628.759	0.332338
629.574	0.331285
630.388	0.329178
631.203	0.328125
632.018	0.327598
632.832	0.324965
633.647	0.324438
634.461	0.322331
635.276	0.321805
636.09	0.320751
636.905	0.319171
637.719	0.317591
638.534	0.316538
639.348	0.314958
640.163	0.313904
640.977	0.312851
641.792	0.311798
642.607	0.310218
643.421	0.308638
644.236	0.308638
645.05	0.306531
645.865	0.306531
646.679	0.304424
647.494	0.303371
648.308	0.303371
649.123	0.301264
649.937	0.301264
650.752	0.299157
651.566	0.298104
652.381	0.298104
653.195	0.295997
654.01	0.295471
654.825	0.29389
655.639	0.292837
656.454	0.29231
657.268	0.29073
658.083	0.29073
658.897	0.288624
659.712	0.28757
660.526	0.28757
661.341	0.28599
662.155	0.285463
662.97	0.28441
663.784	0.28283
664.599	0.282303
665.414	0.28125
666.228	0.280197
667.043	0.27967
667.857	0.278617
668.672	0.277037
669.486	0.277037
670.301	0.275456
671.115	0.27493
671.93	0.273876
672.744	0.27335
673.559	0.27177
674.373	0.271243
675.188	0.27019
676.003	0.269663
676.817	0.26861
677.632	0.267029
678.446	0.266503
679.261	0.265976
680.075	0.264923
680.89	0.264396
681.704	0.262816
682.519	0.261763
683.333	0.261236
684.148	0.260183
684.962	0.259129
685.777	0.258603
686.591	0.257549
687.406	0.256496
688.221	0.255969
689.035	0.254389
689.85	0.253862
690.664	0.252809
691.479	0.251756
692.293	0.250702
693.108	0.250176
693.922	0.249122
694.737	0.248069
695.551	0.247542
696.366	0.246489
697.18	0.245435
697.995	0.244382
698.81	0.243329
699.624	0.242275
701.253	0.240169
702.068	0.240169
702.882	0.238062
703.697	0.238062
704.511	0.237008
705.326	0.235428
706.14	0.234902
706.955	0.233322
707.769	0.232795
708.584	0.231742
709.398	0.230688
710.213	0.229635
711.028	0.228581
711.842	0.227528
712.657	0.227001
713.471	0.225421
714.286	0.224895
715.1	0.223315
715.915	0.222788
716.729	0.222261
717.544	0.220154
718.358	0.220154
719.173	0.218048
719.987	0.218048
720.802	0.216994
721.617	0.215414
722.431	0.214888
723.246	0.213308
724.06	0.212781
724.875	0.212254
725.689	0.210147
726.504	0.209621
727.318	0.208041
728.133	0.207514
728.947	0.207514
729.762	0.205407
730.576	0.204881
731.391	0.203301
732.206	0.202774
733.02	0.202774
733.835	0.201721
734.649	0.19856
735.464	0.198034
736.278	0.197507
737.093	0.19698
737.907	0.1954
738.722	0.194874
739.536	0.19382
740.351	0.192767
741.165	0.191713
741.98	0.191187
742.794	0.190133
743.609	0.188553
744.424	0.188027
745.238	0.186973
